"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"G7GNJWBE","journalArticle","1983","Kilian K.","Ausgrabungen in Tiryns 1981","AA","","","","","","1983","2016-02-04 18:59:28","2016-02-04 18:59:28","","277-328","","","","","","Kilian 1983","","","","","","","","","","","","","","SH, FH I + II","","","","Alles; Argolis; Frühbronzezeit; Grabungsbericht; Neo75-93-ASK; Peloponnes; Tiryns","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F9RXRWQB","journalArticle","1982","Kilian K.","Ausgrabungen in Tiryns 1980","AA","","","","","","1982","2016-02-04 18:59:26","2016-02-04 18:59:26","","393-430","","","","","","Kilian 1982","","","","","","","","","","","","","","SH, FH II + III","","","","Alles; Argolis; Frühbronzezeit; Grabungsbericht; Neo75-93-ASK; Peloponnes; Tiryns","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8QABK7RG","book","1985","Yakar J.","The later prehistory of Anatolia. The Late Chalcolithic and Early Bronze","","","","","","","1985","2016-02-04 18:59:24","2016-02-04 18:59:24","","","","","","","","Yakar 1985","BAR International Series 268, 1. 2","","","","","Oxford","","","","","","","","","","","","Allgemein; Anatolien; Chronologie; Frühbronzezeit; Neo75-93-ASK; Neolith; Rand; SN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7TVDRU2S","journalArticle","1979","Yakar J.","Troy and Anatolian Early Bronze Age chronology","AnatSt","","","","","","1979","2016-02-04 18:59:22","2016-02-04 18:59:22","","51-67","","","29","","","Yakar 1979","","","","","","","","","","","","","","","","","","Anatolien; Chronologie; Frühbronzezeit; Neo75-93-ASK; Troja","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SZ9KNJB3","journalArticle","1979","Warner J.","The megaron and apsidal house in Early Bronze Age Western Anatolia: new","AJA","","","","","","1979","2016-02-04 18:59:20","2016-02-04 18:59:20","","133-147","","","83:02:00","","","Warner 1979","","","","","","","","","","","","","","","","","","Anatolien; Architektur; Frühbronzezeit; Neo75-93-ASK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2CGAU87J","bookSection","","Mellink M.","The Early Bronze Age in West Anatolia","","","","","","","","2016-02-04 18:59:19","2016-02-04 18:59:19","","139-152","","","","","","Mellink 1986","","","","","","","","","","","","","","","","","","Anatolien; Chronologie; Frühbronzezeit; Neo75-93-ASK","","","","","","","","","","","","","","","","","","","","","End of the EBA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RS252B3P","journalArticle","1988","Easton D.F.","The chronology of West Anatolia in the Early Bronze Age","BICS","","","","","","1988","2016-02-04 18:59:17","2016-02-04 18:59:17","","180-181","","","35","","","Easton 1988","","","","","","","","","","","","","","","","","","Anatolien; Chronologie; Frühbronzezeit; Neo75-93-ASK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DXBJHN5N","journalArticle","1980","Eslick Ch.","Middle Chalcolithic pottery from southwestern Anatolia","AJA","","","","","","1980","2016-02-04 18:59:15","2016-02-04 18:59:15","","Mai 14","","","84:01:00","","","Eslick 1980","","","","","","","","","","","","","","","","","","Anatolien; Keramik; Neo75-93-ASK; Neolith; Rand","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HZPFUTP2","book","1981","","","","","","","","","1981","2016-02-04 18:59:13","2016-02-04 18:59:13","","","","","","","","Studien zur Bronzezeit, StudBronze","","","","","","Mainz","","","","","","","","IUF 10.410","","","","Alles; Allgemein; Frühbronzezeit; Neo75-93-ASK","","Lorenz H.","","","","","","","","","","","","","","","","","","","Studien zur Bronzezeit. Festschrift für Wilhelm Albert v.Brunn","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DQDNCJST","book","1984","Åström P., Palmer L.R., Pomerance L.","Studies in Aegean chronology","","","","","","","1984","2016-02-04 18:59:12","2016-02-04 18:59:12","","","","","","","","Åström - Palmer - Pomerance 1984","SIMA Pocket-Book 25","","","","","Göteborg","","","","Walberg, Gnomon 57 (1985) 578-580","","","","Arch SIMA I Aström: Aström u. Pomerance - Chronologie; Palmer -","","","","Alles; Chronologie; Mittlere Bronzezeit; Neo75-93-ASK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NATKKBI2","book","1985","","","","","","","","","1985","2016-02-04 18:59:10","2016-02-04 18:59:10","","","","","","","","Schliemann","","","","","","Athen","","","","","","","","","","","","Alles; Anatolien; Frühbronzezeit; Grabungsbericht; Neo75-93-ASK; Troja","","","","","","","","","","","","","","","","","","","","","Troia. Anaskaphes kai evrimata tou Errikou Sliman. Ekthesi Athina 1985","","","","","","","","","","","","","","","","","","","","","","","","","",""
"69UKD3AB","book","1990","Hodder I.","The domestication of Europe: structure and contigency in Neolithic","","","","","","","1990","2016-02-04 18:59:08","2016-02-04 18:59:08","","","","","","","","Hodder 1990","","","","","","Oxford","","","","R.Bradley, JFieldA 19 (19992) 218-219. P.Bogucki, American Antiquity 57","","","","ASCS DE 10.220; behandelt alles, nur nicht Grld.","","","","Allgemein; Balkan; Landwirtschaft; Mitteleuropa; Neo75-93-ASK; Neolith; Rand; Vorderer Orient","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TBJEUX3E","book","1990","Fitton J.L.","Cycladic Art","","","","","","","1990","2016-02-04 18:59:07","2016-02-04 18:59:07","","","","","","","","Fitton 1990","British Museum Series","","","","","Cambridge","","","","","","","","IUF - Dass. Buch wie Harvard University Press, Cambridge, MA. 1989 ?","","","","Figurinen; Frühbronzezeit; Keramik; Kunst; Kykladen; Neo75-93-ASK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DPU6S8QJ","journalArticle","1990","Kalicz-Schreiber R.","Symbolic representations on Early Bronze Age Vessels","Journal of Indo-European Studies","","","","","","1990","2016-02-04 18:59:05","2016-02-04 18:59:05","","59-108","","","18:1&2","","","Kalicz-Schreiber 1990","","","","","","","","","","","","","","","","","","Frühbronzezeit; Keramik; Neo75-93-ASK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2SQPN22G","bookSection","","Mellink M.J.","Anatolia and foreign relations of Tarsus in the Early Bronze Age","","","","","","","","2016-02-04 18:59:03","2016-02-04 18:59:03","","319-332","","","","","","Mellink 1989","","","","","","","","","","","","","","","","","","Einflüsse Anatolien; Frühbronzezeit; Neo75-93-ASK","","","","","","","","","","","","","","","","","","","","","Anatolia","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IU44RNZE","bookSection","","Garasanin M.","Vinca und seine Stellung im Neolithikum Süd-Europas","","","","","","","","2016-02-04 18:59:02","2016-02-04 18:59:02","","Nov 14","","","","","","Garasanin M. 1990","","","","","","","","","","","","","","","","","","Allgemein; Balkan; Neo75-93-ASK; Neolith; Rand","","","","","","","","","","","","","","","","","","","","","Vinca","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23GFCQ2S","bookSection","","Pavlovic M.","The aesthestics of Neolithic figurines","","","","","","","","2016-02-04 18:59:00","2016-02-04 18:59:00","","33","","","","","","Pavlovic 1990","","","","","","","","","","","","","","IUF 13.599: Behandelt Fig. von Vinca","","","","Balkan; Figurinen; Neo75-93-ASK; Neolith; Rand; Vinca","","","","","","","","","","","","","","","","","","","","","Vinca","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NVDSBN5S","book","1989","","","","","","","","","1989","2016-02-04 18:58:57","2016-02-04 18:58:57","","","","","","","","Time, energy, and stone tools","","","","","","New York","","","","J.J. Shea, American Anthropologist 93 (1991) 250.","","","","","","","","N; Neo75-93-ASK; Neolithikum; Obsidian","","Torrence R.","","","","","","","","","","","","","","","","","","","Time, energy, and stone tools","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NMPVU2ER","book","1987","","","","","","","","","1987","2016-02-04 18:58:56","2016-02-04 18:58:56","","","","","","","","Chronologies in the Near East","BAR, International Series 379","","","","","Oxford","","","","St.E.Falconer, AJA 94 (1990) 683-684","","","","BSA R 142.35","","","","Chronologie; Neo75-93-ASK; Neolith; Rand; Vorderer Orient","","Aurenche O., Evin J., Hours F.","","","","","","","","","","","","","","","","","","","Chronologies in the Near East. Relative chronologies and absolute","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2DQF3PNT","journalArticle","1990","Levine M.A.","Dereivka and the problem of horse domestication","Antiquity","","","","","","1990","2016-02-04 18:58:54","2016-02-04 18:58:54","","727-740","","","64","","","Levine 1990","","","","","","","","","","","","","","","","","","Alles; Frühbronzezeit; Indogermanen; Neo75-93-ASK; Tiere","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72AKGACG","journalArticle","1994","Korfmann M.","Altes und Neues aus Troia","Altertum","","","","","","1994","2016-02-04 18:58:53","2016-02-04 18:58:53","","230-240","","","36:04:00","","","Korfmann 1990","","","","","","","","","","","","","","","","","","Alles; Anatolien; Frühbronzezeit; Grabungsbericht; Neo75-93-ASK; Troja","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9DGIFMQQ","book","","Knapp A.B., Cherry J.F.","Archaeological science, statistics & cultural solutions: trade patterns","","","","","","","","2016-02-04 18:58:51","2016-02-04 18:58:51","","","","","","","","Knapp - Cherry 1991","","","","","","","","","","","","","","SBz Metallhandel","","","","Alles; Handel; Neo75-93-ASK","","","","","","","","","","","","","","","","","","","","","Archaeometry'90","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GG5PKVJG","journalArticle","1990","Häusler A.","""Die Rolle des Schwarzen Meeres in der Urgeschichte Mittel- und","EthnogrAZ","","","","","","1990","2016-02-04 18:58:50","2016-02-04 18:58:50","","189-190","","","31:01:00","","","Häusler 1990","","","","","","","","","","","","","","Kurzbericht über Kongreß. Zusammenfassung: Grabungsergebnisse.","","","","Alles; Allgemein; Frühbronzezeit; Neo75-93-ASK; Neolith; Rand","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UU28MAPN","book","1989","","","","","","","","","1989","2016-02-04 18:58:47","2016-02-04 18:58:47","","","","","","","","Anatolia","Türk Tarih Kurumu Sok.1","","","","","Ankara","","","","","","","","Arch FS!","","","","Abk.Sammelband; Alles; Anatolien; Frühbronzezeit; N; Neo75-93-ASK; Neolith; Rand; Vorderer Orient","","Emre K., Hrouda B., Mellink M., Özgüç","","","","","","","","","","","","","","","","","","","Anatolia and the Ancient Near East. Studies in honor of Tahsin Özgüç","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D4FXXWHV","journalArticle","1990","Pernicka E., Begemann F., Schmitt-Strecker S., Grimanis A.P.","On the composition and provenance of metal artefacts from Poliochni on","OxfJA","","","","","","1990","2016-02-04 18:58:46","2016-02-04 18:58:46","","263-298","","","9","","","Pernicka et al. 1990","","","","","","","","","","","","","","","","","","Frühbronzezeit; Kleinasiatische Inseln; Lemnos; Metallurgie; Neo75-93-ASK; Poliochni","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GEBI5SZQ","book","1989","","","","","","","","","1989","2016-02-04 18:58:44","2016-02-04 18:58:44","","","","","","","","High, Middle or Low 3","SIMA, Pocket-Book 80","","","","","Gothenburg","","","","","","","","","","","","Alles; Chronologie; Frühbronzezeit; Neo75-93-ASK","","Åström P.","","","","","","","","","","","","","","","","","","","High, Middle or Low? Acts of an international colloquium on absolute","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B9JV8TPI","book","1983","","","","","","","","","1983","2016-02-04 18:58:42","2016-02-04 18:58:42","","","","","","","","TUAS 8","","","","","","Philadelphia","","","","","","","","","","","","Abk.Sammelband; Alles; Frühbronzezeit; Metallurgie; Neo75-93-ASK","","Betancourt P.P.","","","","","","","","","","","","","","","","","","","Gold in the Aegean Bronze Age, Temple University Aegean Symposium 8","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UZQJ3ZQ6","book","1982","","","","","","","","","1982","2016-02-04 18:58:41","2016-02-04 18:58:41","","","","","","","","TUAS 7","","","","","","Philadelphia","","","","","","","","","","","","Abk.Sammelband; Alles; Frühbronzezeit; Handel; Kykladen; Neo75-93-ASK","","Betancourt Ph.P.","","","","","","","","","","","","","","","","","","","Trade and travel in the Cyclades during the Bronze Age. Temple","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P92SFWVB","book","1982","","","","","","","","","1982","2016-02-04 18:58:38","2016-02-04 18:58:38","","","","","","","","Thracia Praehistorica","Supplementum Pulpudeva 3","","","","","Sofia","","","","","","","","Franz 31.855","","","","Abk.Sammelband; Alles; Frühbronzezeit; N; Neo75-93-ASK; Neolithikum","","","","","","","","","","","","","","","","","","","","","Thracia Praehistorica. Semaines philippopolitaines de l'histoire et","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PBCVFTEN","book","1978","","","","","","","","","1978","2016-02-04 18:58:37","2016-02-04 18:58:37","","","","","","","","Thera and the Aegean World I","","","","","","London","","","","","","","","","","","","Abk.Sammelband; Alles; Frühbronzezeit; Kykladen; Neo75-93-ASK; Neolithikum; Thera","","Doumas C.","","","","","","","","","","","","","","","","","","","Thera and the Aegean World I. Papers presented at the second","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N4T6T925","book","1985","","","","","","","","","1985","2016-02-04 18:58:34","2016-02-04 18:58:34","","","","","","","","Prehistoric production and exchange","UCLA, Institute of Archaeology Monograph 25","","","","","Los Angeles","","","","","","","","IUF R 11780 USA","","","","Abk.Sammelband; Alles; Frühbronzezeit; Handel; N; Neo75-93-ASK; Neolithikum; Wirtschaft","","Knapp A.B., Stech T.","","","","","","","","","","","","","","","","","","","Prehistoric production and exchange: the Aegean and eastern","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2UCVAIKQ","book","1984","","","","","","","","","1984","2016-02-04 18:58:33","2016-02-04 18:58:33","","","","","","","","Pots and Potters","UCLA, Institute of Archaeology Monograph 24","","","","","Los Angeles","","","","","","","","IUF!","","","","Abk.Sammelband; Alles; Neo75-93-ASK; Neolithikum","","Rice P.N.","","","","","","","","","","","","","","","","","","","Pots and Potters. Current Approaches in Ceramic Archaeology","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WKRZ2PQQ","book","1986","","","","","","","","","1986","2016-02-04 18:58:30","2016-02-04 18:58:30","","","","","","","","Philia Epi eis G.E.Mylonan 1","Bibliothiki tis Athines Archeologikis etaireias 103","","","","","Athen","","","","","","","","Arch FS!","","","","Abk.Sammelband; Alles; Frühbronzezeit; N; Neo75-93-ASK; Neolithikum","","","","","","","","","","","","","","","","","","","","","Philia epi eis Georgiou E. Mylonana dia ta 60 eti tou anaskaphikou","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F7Z9HGS5","book","1988","","","","","","","","","1988","2016-02-04 18:58:27","2016-02-04 18:58:27","","","","","","","","PGP","","","","","","Bristol","","","","","","","","","","","","Abk.Sammelband; Alles; Frühbronzezeit; N; Neo75-93-ASK; Neolithikum","","French E.B.","","","","","","","","","","","","","","","","","","","Problems in Greek prehistory. Papers presented at the Centenary","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4S7WB98C","book","1979","","","","","","","","","1979","2016-02-04 18:58:25","2016-02-04 18:58:25","","","","","","","","Papers in Cycladic Prehistory","UCLA, Institute of Archaeology Monograph XIV","","","","","Los Angeles","","","","Schofield E., AJA 85:4 (1981) 495-496. Hennessy J.B., JHS 101 (1981) 205f.","","","","IUF!","","","","Abk.Sammelband; Alles; Frühbronzezeit; Kykladen; N; Neo75-93-ASK; Neolithikum","","Davis J.L., Cherry J.F.","","","","","","","","","","","","","","","","","","","Papers in Cycladic Prehistory","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5VZ54ZC8","book","1982","","","","","","","","","1982","2016-02-04 18:58:22","2016-02-04 18:58:22","","","","","","","","Palast und Hütte","","","","","","Mainz","","","","","","","","Arch! IUF!","","","","Abk.Sammelband; Alles; Architektur; Frühbronzezeit; N; Neo75-93-ASK; Neolithikum","","Papenfuss D., Strocka V.M.","","","","","","","","","","","","","","","","","","","Palast und Hütte: Beiträge zum Bauen und Wohnen im Altertum von","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GFAMUJTV","book","1983","","","","","","","","","1983","2016-02-04 18:58:21","2016-02-04 18:58:21","","","","","","","","Minoan Thalassocracy","Skrifter utgivna av Svenska Institutet i Athen, 4, XXXII","","","","","Göteborg","","","","","","","","","","","","Abk.Sammelband; Alles; Frühbronzezeit; Neo75-93-ASK","","Hägg R., Marinatos N.","","","","","","","","","","","","","","","","","","","The Minoan thalassocracy: myth and reality. Proceedings of the Third","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HFDT8QG9","book","1985","","","","","","","","","1985","2016-02-04 18:58:18","2016-02-04 18:58:18","","","","","","","","McDonald Festschrift","Center for Ancient Studies Publications in Ancient Studies No.1","","","","","Minneapolis","","","","","","","","Arch FS!","","","","Abk.Sammelband; Alles; Frühbronzezeit; N; Neo75-93-ASK; Neolithikum","","Wilkie N.C., Coulsen W.D.E.","","","","","","","","","","","","","","","","","","","Contributions to Aegean archaeology: studies in honor of William A.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CQWBWWUA","book","1989","","","","","","","","","1989","2016-02-04 18:58:15","2016-02-04 18:58:15","","","","","","","","Karanovo","Schriftenreihe des Instituts für Alte Geschichte und Altertumskunde der","","","","","Salzburg","","","","","","","","Arch !","","","","Abk.Sammelband; N; Neo75-93-ASK; Neolithikum","","Hiller St.","","","","","","","","","","","","","","","","","","","Tell Karanovo und das Balkan-Neolithikum. Gesammelte Beiträge zum","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35UUG9SW","journalArticle","1988","-","Aceramic neolithic in S.E. Turkey. Round Table held in the Netherlands","Anatolica","","","","","","1988","2016-02-04 18:58:13","2016-02-04 18:58:13","","1-232","","","15","","","Aceramic Neolithic","","","","","","","","","","","","","","","","","","Anatolien; FN; Neo75-93-ASK; Neolith; Präkeramikum; Rand","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BNT7RKXG","book","1986","","","","","","","","","1986","2016-02-04 18:58:12","2016-02-04 18:58:12","","","","","","","","EHArchUrb","SIMA 76","","","","","Göteborg","","","","Rutter J., Bibliotheca Orientalis 45(4/6) 661-8","","","","","","","","Abk.Sammelband; Architektur; Frühbronzezeit; Neo75-93-ASK","","Hägg R., Konsola D.","","","","","","","","","","","","","","","","","","","Early Helladic architecture and urbanization. Proceedings of a","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JBVXA8IT","book","1988","","","","","","","","","1988","2016-02-04 18:58:09","2016-02-04 18:58:09","","","","","","","","EpetEtairBoiotMel","","","","","","Athen","","","","","","","","Byz -, AGesch-, Arch-","","","","Abk.Sammelband; Alles; Böotien; Frühbronzezeit; Mittelgriechenland; N; Neo75-93-ASK; Neolithikum","","Bekiaris A.P.","","","","","","","","","","","","","","","","","","","Epetiris tis Etaireias Boiotikon Meleton A': A' Diethnes Synedrio","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8A8WMZ7D","bookSection","1980","Zapheiropoulou P.","Protokykladica eidolia tis Naxou","","","","","","","1980","2016-02-04 18:58:07","2016-02-04 18:58:07","","532-540","","","","","","Zapheiropoulou 1980","","","","","","Athen","","","","","","","","","","","","Figurinen; Frühbronzezeit; Kykladen; Naxos; Neo75-93-ASK","","","","","","","","","","","","","","","","","","","","","Stele. Tomos eis mnemen N.Kontoleontos","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S28P63FS","journalArticle","1986","Yiannouli E., Mithen S.","The real and random architecture of Siphnos: analysing house plans using","Archaeological Review from Cambridge","","","","","","1986","2016-02-04 18:58:05","2016-02-04 18:58:05","","167-180","","","05:02","","","Yiannouli - Mithen 1986","","","","","","","","","","","","","","Arch C 13","","","","Alles; Architektur; Kykladen; Neo75-93-ASK; Siphnos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7HJSAQ3Z","bookSection","1987","Wilson D.E.","Kea and East Attike in Early Bronze II. Beyond pottery typology","","","","","","","1987","2016-02-04 18:58:03","2016-02-04 18:58:03","","35-49","","","","","","Wilson 1987","","","","","","Amsterdam","","","","","","","","","","","","Attika; Chronologie; Frühbronzezeit; Keos; Keramik; Kykladen; Mittelgriechenland; Neo75-93-ASK","","","","","","","","","","","","","","","","","","","","","Syneisphora McGill I. Papers in Greek Archaeology and History, in","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NSCF3TEC","bookSection","","Wilson D.E., Eliot M.","Ayia Irini III: the last phase of occupation at the EBA settlement","","","","","","","","2016-02-04 18:58:02","2016-02-04 18:58:02","","78-87","","","","","","Wilson - Eliot 1984","","","","","","","","","","","","","","","","","","Ayia Irini; Frühbronzezeit; Grabungsbericht; Keos; Kykladen; Neo75-93-ASK","","","","","","","","","","","","","","","","","","","","","The Prehistoric Cyclades","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XMBDW8S4","bookSection","","Warren P.","Early Minoan - Early Cycladic chronological correlations","","","","","","","","2016-02-04 18:58:00","2016-02-04 18:58:00","","55-62","","","","","","Warren 1984 b","","","","","","","","","","","","","","","","","","Chronologie; Frühbronzezeit; Kreta; Kykladen; Neo75-93-ASK","","","","","","","","","","","","","","","","","","","","","The Prehistoric Cyclades","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VGKRRG9P","book","1985","Wagner G.A., Weisgerber G., Kroker W. (Ed.)","Silber, Blei und Gold auf Sifnos: Prähistorische und antike","","","","","","","1985","2016-02-04 18:57:57","2016-02-04 18:57:57","","","","","","","","Wagner - Weisgerber - Kroker 1985","Der Anschnitt, Beiheft 3","","","","","Bochum","","","","Runnels C., AJA 91:2 (1987) 339-340","","","","IUF R 10.139 D. Beitrag von Gropengiesser","","","","Alles; Ch; Frühbronzezeit; Kykladen; Metallurgie; Neo75-93-ASK; Neolithikum; Siphnos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NVM83X2F","book","1980","Wagner G.A., Gentner N., Gropengiesser H., Gale N.H.","Early Bronze Age lead-silver mining and metallurgy in the Aegean: the","","","","","","","1980","2016-02-04 18:57:55","2016-02-04 18:57:55","","","","","","","","Wagner et al. 1980","British Museum Occasional Paper 20","","","","","London","","","","","","","","IUF R 10.454 GB","","","","Ch; Frühbronzezeit; Kykladen; Metallurgie; Neo75-93-ASK; Neolithikum; Siphnos","","","","","","","","","","","","","","","","","","","","","Scientific studies in early mining and extractive metallurgy,","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EVHQDMZA","journalArticle","1983","Topp C., Plantalamor L.","The Cycladic beaked jug supposedly found in Minorca","BInstALondon","","","","","","1983","2016-02-04 18:57:54","2016-02-04 18:57:54","","155-167","","","20","","","Topp - Plantalamour 1983","","","","","","","","","","","","","","","","","","Frühbronzezeit ?; Keramik; Kykladen; Neo75-93-ASK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ADC6NG5I","book","1977","","","","","","","","","1977","2016-02-04 18:57:52","2016-02-04 18:57:52","","","","","","","","Art and culture of the Cyclades","","","","","","Chicago","","","","","","","","","","","","Figurinen; Frühbronzezeit; Keramik; Kykladen; Neo75-93-ASK","","Thimme J.","","","","","","","","","","","","","","","","","","","Art and culture of the Cyclades in third millenium B.C.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R3KB9U3A","book","1976","","","","","","","","","1976","2016-02-04 18:57:49","2016-02-04 18:57:49","","","","","","","","Kunst und Kultur der Kykladeninseln","","","","","","Badisches Landesmuseum Karlsruhe","","","","","","","","Arch !","","","","Abk. Sammelband; Alles; Frühbronzezeit; Kykladen; N; Neo75-93-ASK; Neolithikum","","Thimme J.","","","","","","","","","","","","","","","","","","","Kunst und Kultur der Kykladeninseln im 3.Jahrtausend vor","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G7E3ETDC","journalArticle","1984","Stos-Gale Z.A., Gale N.H., Gilmore G.R.","Early Bronze Age Trojan metal sources and Anatolians in the Cyclades","OxfJA","","","","","","1984","2016-02-04 18:57:48","2016-02-04 18:57:48","","23-43","","","03:03","","","Stos-Gale - Gale - Gilmore 1984","","","","","","","","","","","","","","","","","","Einflüsse Anatolien; Frühbronzezeit; Handel; Kykladen; Metallurgie; Neo75-93-ASK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24HZNJKH","journalArticle","1986","Sotirakopoulou P.","Early Cycladic pottery from Akrotiri and its chronological implications","BSA","","","","","","1986","2016-02-04 18:57:46","2016-02-04 18:57:46","","297-312","","","81","","","Sotirakopoulou 1986","","","","","","","","","","","","","","Keramik aus unteren Schichten, besonders von Gruben im gewachsenen","","","","Akrotiri; Frühbronzezeit; Grabungsbericht; Keramik; Kykladen; Neo75-93-ASK; Thera","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MVHMJ973","journalArticle","1990","Schina A.","Unique Cycladic statue comes home again","Athena","","","","","","1990","2016-02-04 18:57:44","2016-02-04 18:57:44","","306","","","38","","","Schina 1990","","","","","","","","","","","","","","","","","","Figurinen; Frühbronzezeit; Kykladen; Neo75-93-ASK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3G3N3NIR","bookSection","","Rutter J.","The Early Cycladic III gap","","","","","","","","2016-02-04 18:57:43","2016-02-04 18:57:43","","95-107","","","","","","Rutter 1984","","","","","","","","","","","","","","","","","","Chronologie; Frühbronzezeit; Kykladen; Neo75-93-ASK","","","","","","","","","","","","","","","","","","","","","The Prehistoric Cyclades","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8DG23Q2K","journalArticle","1986","Renfrew C.","The Goulandris Museum of Cycladic and ancient Greek Art","AR","","","","","","1986","2016-02-04 18:57:41","2016-02-04 18:57:41","","134-141","","","32","","","Renfrew C. 1986 h","","","","","","","","","","","","","","","","","","Figurinen; Frühbronzezeit; Keramik; Kykladen; Neo75-93-ASK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7JEEGVCK","journalArticle","1986","Renfrew C.","A new Cycladic sculpture","Antiquity","","","","","","1986","2016-02-04 18:57:39","2016-02-04 18:57:39","","132-134","","","60","","","Renfrew C. 1986 g","","","","","","","","","","","","","","","","","","Figurinen; Frühbronzezeit; Kykladen; Neo75-93-ASK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
